PubChem CID,IC50 (nM),pIC50,Ligand SMILES
146011942,2.08,8.6819,Cc1cc(Nc2nn(c3cc[nH]c(=O)c23)[C@@]2(CC#N)CCOC[C@H]2F)ccc1C(=O)N1CCOCC1
146011783,2.1,8.6778,CC(C)(C)OC(=O)N1CCC(CC#N)(CC1)n1nc(Nc2cc(Cn3nccn3)cc(Cn3nccn3)c2)c2c1cc[nH]c2=O
136214479,2.13,8.6716,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(cc2)S(=O)(=O)N2CCC[C@H]2C)c2c1cc[nH]c2=O
136214472,2.19,8.6596,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(cc2)[C@@]2(CCCCN2)C(F)(F)F)c2c1cc[nH]c2=O
91669290,2.2,8.6576,CCc1cc(O)c(F)cc1-c1ccc2c(n[nH]c2c1)-c1nc2CN(CCc2[nH]1)C(=O)c1cnc(cn1)N1CCCCC1
146012073,2.23,8.6517,FC(F)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)[C@]2(CC#N)CC[C@@H](CC2)N2CC(F)C2)cc1
146011946,2.26,8.6459,Cc1cc(Nc2nn(c3cc[nH]c(=O)c23)[C@@]2(CC#N)CCOC[C@H]2F)ccc1C(=O)N1CCSCC1
146011924,2.29,8.6402,O=c1[nH]ccc2n(nc(Nc3ccc(cc3)C#N)c12)[C@]1(CC#N)CCOC1
137642141,2.3,8.6383,C[C@@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)N1CC[C@H](C1)S(=O)(=O)c1cccc(O)c1
146011982,2.32,8.6345,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(Cc3ccc(cc3)C(F)(F)F)CC2)cc1
136214478,2.38,8.6234,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(cc2)S(=O)(=O)N2CCC[C@@H]2C)c2c1cc[nH]c2=O
117882439,2.4,8.6198,Clc1ccc(cc1)C1(COC1)NC[C@H]1CC[C@@H](CC1)c1nnn2cnc3[nH]ccc3c12
146011952,2.42,8.6162,CC(C)(C)N[C@H](c1ccc(Nc2nn(c3cc[nH]c(=O)c23)[C@@]2(CC#N)CCOC[C@H]2F)cc1)C(F)(F)F
146011722,2.47,8.6073,COC(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CN(C2)C(=O)OC(C)(C)C)cc1
136214474,2.5,8.6021,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(cc2)[C@]2(CCCN2)C(F)(F)F)c2c1cc[nH]c2=O
58293201,2.54,8.5952,CN([C@H]1CC[C@H](CS(=O)(=O)N2CC[C@@H](C2)c2ccccn2)CC1)c1ncnc2[nH]ccc12
78323380,2.6,8.585,FC(F)(F)CN1CN([C@H]2CC[C@H](CN3CCCS3(=O)=O)CC2)c2c(cnc3[nH]ccc23)C1=O
146011953,2.63,8.58,CC(C)(C)N[C@@H](c1ccc(Nc2nn(c3cc[nH]c(=O)c23)[C@@]2(CC#N)CCOC[C@H]2F)cc1)C(F)(F)F
146011723,2.64,8.5784,CC(C)(C)OC(=O)N1CC(CC#N)(C1)n1nc(Nc2ccc(F)cc2)c2c1cc[nH]c2=O
129626867,2.7,8.5686,COC[C@H](O)Cn1cc(cn1)-c1cn2ncc(C(N)=O)c(N[C@H]3CN(C[C@H]3C)C(=O)C3(CC3)C#N)c2n1
136214471,2.74,8.5622,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(cc2)[C@]2(CCCCN2)C(F)(F)F)c2c1cc[nH]c2=O
146012054,2.77,8.5575,Cc1cc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(CC2)c2cc(ccn2)C(F)(F)F)ccc1C(=O)N1CCSCC1
58293215,2.78,8.556,CNS(=O)(=O)[C@H]1CCN(C1)S(=O)(=O)C[C@H]1CC[C@@H](CC1)N(C)c1ncnc2[nH]ccc12
136214475,2.82,8.5498,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(cc2)[C@@]2(CCCN2)C(F)(F)F)c2c1cc[nH]c2=O
136214441,2.86,8.5436,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc3c(CN(C(C)(C)C)S3(=O)=O)c2)c2c1cc[nH]c2=O
136215203,2.9,8.5376,CNC(=O)c1n[nH]c2cc(nc(NCc3ccccc3N(CCO)S(C)(=O)=O)c12)-c1cc(F)c(O)cc1CC(F)(F)F
146012062,2.98,8.5258,FC1CN(C1)[C@H]1CC[C@](CC#N)(CC1)n1nc(Nc2ccc(Cl)cc2)c2c1cc[nH]c2=O
89473746,3,8.5229,NC(=O)c1cn(nc1Nc1ccccc1)C1(CC#N)CN(C1)C(=O)OC1CCCC1
118253696,3.1,8.5086,NC(=O)c1cnn2cc(nc2c1N[C@@H]1CN(C[C@@H]1CF)C(=O)C1(CC1)C#N)-c1cnn(c1)C(F)F
146011997,3.16,8.5003,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(CCc3ccccc3)CC2)cc1
78323059,3.2,8.4949,FC(F)(F)CNC[C@H]1CC[C@@H](CC1)N1CN(CC(F)(F)F)C(=O)c2cnc3[nH]ccc3c12
136214444,3.21,8.4935,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc3C(=O)N(Cc3c2)C2(C)CCC(F)(F)CC2)c2c1cc[nH]c2=O
135374883,3.25,8.4881,COCCCn1nc(Nc2cc(O[C@@H]3CC[C@@H](CC3)NC[C@@H](O)C(F)(F)F)cc3n(C)cnc23)cc1C
117769307,3.3,8.4815,C[C@]1(N)CC[C@@H](Nc2c(cnn3cc(cc23)-c2ccnc(F)c2)C(N)=O)C1(C)C
136215167,3.4,8.4685,CCc1cc(O)c(F)cc1-c1cc2[nH]nc(-c3ncc[nH]3)c2c(NCc2ccccc2N(C)S(C)(=O)=O)n1
136215163,3.5,8.4559,CCc1cc(O)c(F)cc1-c1cc2[nH]nc(-c3nnc(C)[nH]3)c2c(NCc2ccccc2N(C)S(C)(=O)=O)n1
117769217,3.6,8.4437,C[C@]1(N)CC[C@@H](Nc2c(cnn3cc(cc23)-c2ccncc2F)C(N)=O)C1(C)C
129626895,3.7,8.4318,CCCn1cc(cn1)-c1cn2ncc(C(N)=O)c(N[C@H]3CN(C[C@H]3CF)C(=O)C3(CC3)C#N)c2n1
136215109,3.8,8.4202,CCc1cc(O)ccc1-c1cc2[nH]ncc2c(n1)N1CCc2ccc(cc2C1)S(=O)(=O)NCCN1CCCC1
129626887,3.9,8.4089,CCCn1cc(cn1)-c1cn2ncc(C(N)=O)c(N[C@H]3CN(C[C@H]3CC)C(=O)C3(CC3)C#N)c2n1
146011930,3.93,8.4056,Fc1ccnc2ccc(Nc3nn(c4cc[nH]c(=O)c34)[C@]3(CC#N)CCOC3)cc12
